filename,Classifier,filter_ds,accuracy_score_mean,f1_score_mean,precision_score_mean,recall_score_mean,accuracy_score_std,f1_score_std,precision_score_std,recall_score_std,accuracy_score_ci_l,f1_score_ci_l,precision_score_ci_l,recall_score_ci_l,accuracy_score_ci_h,f1_score_ci_h,precision_score_ci_h,recall_score_ci_h,source_file
results_rSTSF_country.csv,rSTSF,_0,0.7275933,0.722834,0.7228975,0.7275933,0.0209909,0.0224645,0.0221438,0.0209909,0.6693132030131345,0.660462600619407,0.6614165416511669,0.6693132030131345,0.7858734746776587,0.7852054052929729,0.7843785278886756,0.7858734746776587,combined_entries_country.csv
results_rSTSF_country.csv,rSTSF,_1,0.6544175,0.652939,0.6543241,0.6544175,0.0018591,0.0015559,0.0016901,0.0018591,0.6492558350207515,0.6486191213842788,0.6496315346688532,0.6492558350207515,0.6595791102532341,0.6572587806590965,0.6590166808952082,0.6595791102532341,combined_entries_country.csv
results_rdst_country.csv,rdst,_0,0.7324991,0.7237443,0.7305205,0.7324991,0.015173,0.01648,0.014979,0.015173,0.6903720304927711,0.6779884271522142,0.6889321296671895,0.6903720304927711,0.7746261197382639,0.7695001676590237,0.7721089108524837,0.7746261197382639,combined_entries_country.csv
results_rdst_country.csv,rdst,_1,0.6961535,0.6923744,0.6952496,0.6961535,0.0089731,0.0093233,0.0084341,0.0089731,0.6712402116566348,0.6664886545011606,0.6718329203412342,0.6712402116566348,0.721066751601188,0.7182600652825541,0.7186663032482664,0.721066751601188,combined_entries_country.csv
results_hivecotev2_v2_country.csv,hivecotev2,_0,0.7081991,0.700249,0.7046959,0.7081991,0.0183051,0.0198517,0.0192234,0.0183051,0.6573760023097862,0.6451317856355653,0.65132327613998,0.6573760023097862,0.7590221374930209,0.7553661452858876,0.758068454791985,0.7590221374930209,combined_entries_country.csv
results_hivecotev2_v2_country.csv,hivecotev2,_1,0.6645149,0.6576676,0.6655719,0.6645149,0.0108108,0.0114654,0.0102701,0.0108108,0.6344993057993865,0.6258345478038336,0.6370576023557472,0.6344993057993865,0.6945305828530549,0.6895007320968576,0.6940862652303469,0.6945305828530549,combined_entries_country.csv
results_inception_time_country.csv,inception_time,_0,0.3227479,0.2266777,0.4355567,0.3227479,0.0951865,0.1378136,0.1160265,0.0951865,0.0584677165496846,0.1559542860850357,0.1134154627298313,0.0584677165496846,0.5870281580930865,0.6093096085221925,0.7576979176586596,0.5870281580930865,combined_entries_country.csv
results_inception_time_country.csv,inception_time,_1,0.2460197,0.1988456,0.3042954,0.2460197,0.1169155,0.1081576,0.1098992,0.1169155,0.0785898022251032,0.1014479515285431,0.0008335767844043,0.0785898022251032,0.5706291700067263,0.4991392401746669,0.6094244664955615,0.5706291700067263,combined_entries_country.csv
results_elastic_ensemble_country.csv,elastic_ensemble,_0,0.6745412,0.6747764,0.677873,0.6745412,0.0131012,0.0139245,0.0143978,0.0131012,0.6381663904272927,0.6361158063196412,0.6378982288274302,0.6381663904272927,0.7109160496786777,0.7134370330485572,0.7178478651625824,0.7109160496786777,combined_entries_country.csv
results_elastic_ensemble_country.csv,elastic_ensemble,_1,0.5971061,0.5966109,0.6014213,0.5971061,0.011009,0.0111823,0.0108867,0.011009,0.5665402972554181,0.5655637502016918,0.5711950716897798,0.5665402972554181,0.6276718213988153,0.6276580843638547,0.6316475130986619,0.6276718213988153,combined_entries_country.csv
results_hydra_v2_country.csv,hydra_ridge,_0,0.7177886,0.7086522,0.7176934,0.7177886,0.0115746,0.0130933,0.0116339,0.0115746,0.6856522283381765,0.6722993889715162,0.6853925747103664,0.6856522283381765,0.7499249119934905,0.7450050139226353,0.7499941506221786,0.7499249119934905,combined_entries_country.csv
results_hydra_v2_country.csv,hydra_ridge,_1,0.682769,0.677715,0.6823326,0.682769,0.0092478,0.0100045,0.009107,0.0092478,0.6570929194217123,0.6499380048725338,0.6570476043638441,0.6570929194217123,0.7084451666560667,0.7054920729137129,0.7076176214505604,0.7084451666560667,combined_entries_country.csv
results_tde_country.csv,tde,_0,0.7059712,0.7002954,0.7009036,0.7059712,0.0209248,0.0227881,0.0216358,0.0209248,0.6478744876979285,0.6370254354798569,0.6408329014230112,0.6478744876979285,0.7640678193736514,0.7635654053964996,0.7609742193101681,0.7640678193736514,combined_entries_country.csv
results_tde_country.csv,tde,_1,0.6468707,0.6433979,0.6476405,0.6468707,0.0074157,0.0082972,0.008048,0.0074157,0.6262815119611018,0.6203611937160237,0.6252957393210526,0.6262815119611018,0.6674598341315154,0.6664345650302993,0.6699851938925084,0.6674598341315154,combined_entries_country.csv
results_ridge_cv_country.csv,ridge_cv,_0,0.7097621,0.6981029,0.7092537,0.7097621,0.0153254,0.0162857,0.0162338,0.0153254,0.6672119212742063,0.6528866654074895,0.6641815673811489,0.6672119212742063,0.752312203934048,0.7433192208536644,0.7543258255433789,0.752312203934048,combined_entries_country.csv
results_ridge_cv_country.csv,ridge_cv,_1,0.6780228,0.6691178,0.6767554,0.6780228,0.0084111,0.0085884,0.0082382,0.0084111,0.6546698837806396,0.6452726383460703,0.6538825518454834,0.6546698837806396,0.7013757451723913,0.6929629415836263,0.6996282428495515,0.7013757451723913,combined_entries_country.csv
results_multirocket_country.csv,multirocket,_0,0.682564,0.6780311,0.6812791,0.682564,0.0193758,0.0233209,0.0226017,0.0193758,0.6287681650045622,0.6132820406710747,0.6185267261900023,0.6287681650045622,0.7363598414907337,0.7427802400252016,0.7440314019486458,0.7363598414907337,combined_entries_country.csv
