Classifier,filter_ds,f1_score_mean,f1_score_std,f1_score_ci_l,f1_score_ci_h
hivecotev2,_0_0,0.7537578,0.0216621,0.6936142019977982,0.813901425712575
hivecotev2,_0_1,0.6696055,0.0307482,0.5842348042858929,0.7549760963744907
hivecotev2,_0_2,0.7070552,0.0310387,0.6208778651316096,0.7932325677654752
hivecotev2,_1_0,0.6795749,0.007927,0.6575660960926438,0.7015837807074249
hivecotev2,_1_2,0.6549286,0.0197049,0.6002190289807804,0.7096382191971943
hivecotev2,_1_4,0.6603452,0.0199974,0.6048235188577313,0.7158668346824097
best_of_m1_m2_models,_0_0,0.69,0.0,0.0,0.0
best_of_m1_m2_models,_0_1,0.69,0.0,0.0,0.0
best_of_m1_m2_models,_0_2,0.69,0.0,0.0,0.0
best_of_m1_m2_models,_1_0,0.69,0.0,0.0,0.0
best_of_m1_m2_models,_1_2,0.69,0.0,0.0,0.0
best_of_m1_m2_models,_1_4,0.69,0.0,0.0,0.0
