Classifier,best of M1 and M2 models,HIVECOTEV2,Hydra,MultiRocket,Proximity Forest,Elastic Ensemble,Fresh Prince,TSFresh,DrCIF,rSTSF,RDST,MrSQM,Weasel-D,TDE,Inception Time,ResNet,ridge_cv
Accuracy,0.700,0.661,0.683,0.688,,0.597,0.624,0.631,0.616,0.654,0.696,0.601,0.691,0.647,0.246,,0.678
F1-Score,0.690,0.652,0.678,0.686,,0.597,0.623,0.630,0.616,0.653,0.692,0.601,0.685,0.643,0.199,,0.669
Precision,0.660,0.661,0.682,0.687,,0.601,0.624,0.631,0.618,0.654,0.695,0.603,0.691,0.648,0.304,,0.677
Recall,0.760,0.661,0.683,0.688,,0.597,0.624,0.631,0.616,0.654,0.696,0.601,0.691,0.647,0.246,,0.678
