Classifier,best of M1 and M2 models,HIVECOTEV2,Hydra,MultiRocket,Proximity Forest,Elastic Ensemble,Fresh Prince,TSFresh,DrCIF,rSTSF,RDST,MrSQM,Weasel-D,TDE,Inception Time,ResNet,ridge_cv
Accuracy,0.700,0.660,0.681,0.639,,0.610,0.469,0.634,0.614,0.655,0.671,0.618,0.675,0.712,0.149,,0.661
F1-Score,0.690,0.655,0.678,0.632,,0.609,0.469,0.633,0.614,0.654,0.667,0.618,0.671,0.713,0.085,,0.654
Precision,0.660,0.663,0.684,0.633,,0.616,0.470,0.637,0.620,0.659,0.673,0.621,0.677,0.730,0.210,,0.666
Recall,0.760,0.660,0.681,0.639,,0.610,0.469,0.634,0.614,0.655,0.671,0.618,0.675,0.712,0.149,,0.661
