id,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,country,city,category
19802,8,0,0,0,0,0,0,13,26,39,50,56,58,55,50,46,45,47,49,50,47,39,29,19,0,2,0
19803,9,0,0,0,0,0,0,10,22,29,32,37,43,47,46,41,38,36,38,41,41,38,31,20,0,2,0
19804,0,0,0,0,0,0,0,14,20,21,19,22,33,41,30,14,7,7,7,5,3,1,0,0,0,2,0
19805,0,0,0,0,0,0,0,6,7,5,8,17,32,38,32,18,10,8,7,4,1,1,0,0,0,2,0
19806,0,0,0,0,0,0,0,17,32,47,59,65,62,58,53,52,53,53,52,47,41,32,23,0,0,2,0
19807,0,0,0,0,0,0,0,14,28,44,60,71,75,71,61,50,44,44,47,50,47,38,25,0,0,2,0
19808,0,0,0,0,0,0,0,10,27,44,55,56,49,38,27,19,14,11,8,5,1,1,1,0,0,2,0
19809,0,0,0,0,0,0,0,1,11,38,63,75,65,40,20,11,8,4,1,1,5,5,1,0,0,2,0
19810,0,0,0,0,0,0,0,0,2,7,20,32,43,52,60,71,75,60,35,14,0,0,0,0,0,2,0
19811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
19812,0,0,0,0,0,0,0,19,36,51,58,56,45,36,34,32,30,28,26,23,19,17,13,0,0,2,0
19813,0,0,0,0,0,0,0,23,34,36,36,43,53,58,49,45,45,51,53,51,45,36,28,0,0,2,0
19814,0,0,0,0,0,0,0,18,30,32,28,29,34,35,31,24,19,18,18,17,15,11,0,0,0,2,0
19815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
19816,0,0,0,0,0,0,0,0,0,0,12,22,33,45,57,65,69,66,59,47,35,23,0,0,0,2,0
19817,0,0,0,0,0,0,0,0,0,0,17,26,33,39,47,60,72,75,65,45,26,0,0,0,0,2,0
19818,0,0,0,0,0,0,0,0,24,41,50,48,38,29,26,25,23,17,12,17,29,32,20,0,0,2,0
19819,0,0,0,0,0,0,0,0,19,34,47,53,50,43,36,30,24,20,19,18,17,14,9,0,0,2,0
19820,0,0,0,0,0,0,0,8,18,29,41,52,63,73,75,65,50,38,31,29,25,18,9,0,0,2,0
19821,0,0,0,0,0,0,0,9,22,35,48,56,59,60,59,51,36,24,26,34,33,19,4,0,0,2,0
19822,45,24,0,0,0,0,0,3,12,23,33,38,38,41,50,60,62,55,45,45,56,70,75,65,0,2,0
19823,15,0,0,0,0,0,0,4,9,17,26,36,47,59,67,71,71,68,62,58,60,62,54,35,0,2,0
19824,50,0,0,0,0,0,0,11,23,32,39,42,41,38,38,39,41,41,38,35,38,53,73,75,0,2,0
19825,0,0,0,0,0,0,0,8,21,34,41,42,39,37,38,39,41,44,47,51,49,41,26,11,0,2,0
19826,0,0,0,0,0,0,0,0,0,0,14,21,32,39,39,35,0,0,0,0,0,0,0,0,0,2,0
19827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
19828,0,0,0,0,0,0,0,1,10,20,21,17,14,13,11,9,8,7,6,5,5,3,2,0,0,2,0
19829,0,0,0,0,0,0,0,1,5,11,17,21,18,11,9,9,9,8,7,5,3,1,1,0,0,2,0
19830,43,46,46,43,37,30,23,18,16,17,20,26,33,38,41,41,38,34,29,26,26,28,32,38,0,2,0
19831,32,24,17,13,10,9,11,14,18,25,32,41,50,58,65,71,74,75,74,70,64,56,48,40,0,2,0
19832,75,68,53,34,17,5,0,4,16,33,50,58,56,46,36,31,31,33,35,38,44,53,64,73,0,2,0
19833,41,27,14,3,1,1,1,5,11,23,38,52,61,61,54,45,38,36,41,50,59,64,62,54,0,2,0
19834,11,0,0,0,0,0,0,1,14,34,55,68,68,59,52,49,50,50,50,49,46,41,33,23,0,2,0
19835,11,0,0,0,0,0,0,1,1,16,35,49,48,39,36,45,55,55,51,52,56,55,44,28,0,2,0
19836,0,0,0,0,0,0,0,13,23,34,47,58,66,71,69,63,53,42,34,30,30,27,17,0,0,2,0
19837,0,0,0,0,0,0,0,10,23,38,53,65,74,75,70,59,48,41,42,45,44,35,21,0,0,2,0
19838,0,0,0,0,0,0,0,0,5,37,23,17,29,28,23,39,62,50,19,0,0,0,0,0,0,2,0
