id,kmeans_cluster_k13
0,0
1,4
2,2
3,11
4,11
5,11
6,6
7,11
8,6
9,11
10,11
11,11
12,2
13,11
14,0
15,11
16,0
17,0
18,0
19,11
20,2
21,11
22,2
23,0
24,11
25,11
26,6
27,0
28,2
29,11
30,11
31,11
32,11
33,11
34,11
35,11
36,11
37,11
38,6
39,6
40,2
41,4
42,11
43,11
44,11
45,11
46,11
47,0
48,4
49,11
50,11
51,11
52,0
53,2
54,2
55,4
56,0
57,0
58,4
59,0
60,11
61,11
62,11
63,11
64,11
65,11
66,6
67,11
68,6
69,0
70,6
71,11
72,2
73,0
74,11
75,11
76,0
77,0
78,0
79,0
80,2
81,0
82,11
83,11
84,11
85,11
86,6
87,11
88,0
89,11
90,0
91,0
92,11
93,0
94,9
95,0
96,11
97,9
98,11
99,0
100,0
101,11
102,2
103,0
104,11
105,0
106,0
107,0
108,11
109,0
110,11
111,11
112,0
113,0
114,2
115,11
116,11
117,11
118,11
119,11
120,11
121,0
122,11
123,11
124,11
125,0
126,11
127,11
128,11
129,0
130,11
131,11
132,11
133,11
134,11
135,0
136,0
137,11
138,0
139,0
140,2
141,0
142,4
143,11
144,11
145,11
146,2
147,6
148,11
149,11
150,11
151,0
152,0
153,2
154,11
155,0
156,11
157,11
158,0
159,9
160,11
161,11
162,11
163,11
164,11
165,11
166,0
167,2
168,11
169,11
170,11
171,11
172,2
173,11
174,4
175,4
176,6
177,11
178,0
179,2
180,11
181,2
182,0
183,0
184,11
185,0
186,2
187,11
188,0
189,4
190,11
191,11
192,11
193,2
194,6
195,11
196,11
197,6
198,6
199,6
200,2
201,6
202,2
203,6
204,6
205,4
206,2
207,6
208,6
209,2
210,6
211,11
212,6
213,4
214,6
215,4
216,0
217,6
218,6
219,6
220,0
221,2
222,6
223,6
224,4
225,6
226,2
227,2
228,4
229,6
230,6
231,2
232,2
233,6
234,6
235,4
236,6
237,2
238,2
239,4
240,6
241,2
242,4
243,2
244,4
245,6
246,6
247,4
248,0
249,6
250,6
251,6
252,6
253,6
254,6
255,4
256,6
257,2
258,11
259,6
260,6
261,11
262,4
263,1
264,4
265,4
266,6
267,6
268,2
269,6
270,6
271,2
272,0
273,6
274,6
275,4
276,4
277,6
278,6
279,11
280,6
281,6
282,6
283,2
284,6
285,2
286,4
287,11
288,2
289,6
290,6
291,6
292,0
293,2
294,4
295,4
296,6
297,6
298,4
299,6
300,6
301,6
302,6
303,2
304,6
305,4
306,4
307,2
308,6
309,6
310,6
311,6
312,6
313,6
314,2
315,2
316,2
317,0
318,6
319,6
320,6
321,2
322,2
323,2
324,2
325,2
326,6
327,0
328,11
329,6
330,6
331,6
332,2
333,6
334,0
335,6
336,6
337,6
338,6
339,11
340,6
341,6
342,6
343,6
344,6
345,6
346,6
347,2
348,6
349,4
350,6
351,2
352,6
353,11
354,2
355,2
356,11
357,6
358,6
359,6
360,6
361,0
362,11
363,4
364,1
365,6
366,2
367,4
368,2
369,2
370,6
371,2
372,4
373,6
374,6
375,4
376,6
377,0
378,2
379,2
380,4
381,2
382,2
383,6
384,6
385,11
386,6
387,2
388,6
389,6
390,2
391,6
392,0
393,4
394,2
395,2
396,0
397,2
398,6
399,6
400,6
401,11
402,4
403,0
404,6
405,2
406,6
407,4
408,2
409,6
410,2
411,2
412,2
413,0
414,6
415,2
416,0
417,11
418,11
419,11
420,0
421,2
422,0
423,0
424,0
425,0
426,4
427,6
428,6
429,2
430,1
431,4
432,6
433,1
434,4
435,6
436,1
437,0
438,6
439,1
440,4
441,6
442,0
443,2
444,6
445,4
446,6
447,6
448,6
449,4
450,6
451,6
452,6
453,0
454,4
455,6
456,6
457,6
458,2
459,2
460,2
461,4
462,11
463,0
464,0
465,2
466,2
467,4
468,6
469,6
470,2
471,11
472,2
473,4
474,6
475,4
476,0
477,6
478,0
479,6
480,6
481,6
482,0
483,2
484,0
485,2
486,6
487,4
488,6
489,6
490,0
491,6
492,0
493,0
494,6
495,2
496,2
497,6
498,4
499,0
500,0
501,6
502,6
503,6
504,6
505,11
506,0
507,4
508,6
509,6
510,6
511,6
512,2
513,0
514,6
515,2
516,0
517,6
518,0
519,6
520,6
521,6
522,6
523,2
524,6
525,4
526,6
527,0
528,2
529,6
530,6
531,6
532,4
533,2
534,6
535,6
536,6
537,0
538,4
539,0
540,6
541,4
542,2
543,6
544,6
545,0
546,4
547,6
548,6
549,6
550,6
551,6
552,4
553,4
554,6
555,4
556,0
557,6
558,6
559,2
560,4
561,2
562,4
563,6
564,0
565,4
566,4
567,6
568,4
569,0
570,6
571,2
572,0
573,6
574,6
575,4
576,0
577,6
578,6
579,6
580,2
581,0
582,2
583,2
584,6
585,6
586,4
587,6
588,11
589,4
590,6
591,6
592,6
593,6
594,4
595,0
596,6
597,4
598,6
599,6
600,11
601,6
602,4
603,4
604,2
