Classifier,best of M1 and M2 models,HIVECOTEV2,Hydra,MultiRocket,Proximity Forest,Elastic Ensemble,Fresh Prince,TSFresh,DrCIF,rSTSF,RDST,MrSQM,Weasel-D,TDE,Inception Time,ResNet,ridge_cv
Accuracy,0.700,0.683,0.704,0.644,,0.619,0.482,0.647,0.6306199,0.656,0.710,0.629,0.705,0.695,0.225,,0.696
F1-Score,0.690,0.680,0.702,0.640,,0.620,0.483,0.647,0.6303112,0.657,0.709,0.630,0.701,0.696,0.167,,0.689
Precision,0.660,0.683,0.705,0.644,,0.629,0.485,0.650,0.6333254,0.660,0.711,0.631,0.706,0.713,0.293,,0.695
Recall,0.760,0.683,0.704,0.644,,0.619,0.482,0.647,0.6306199,0.656,0.710,0.629,0.705,0.695,0.225,,0.696
