filename,filter_ds,accuracy_score_mean,f1_score_mean,precision_score_mean,recall_score_mean,accuracy_score_std,f1_score_std,precision_score_std,recall_score_std,accuracy_score_ci_l,f1_score_ci_l,precision_score_ci_l,recall_score_ci_l,accuracy_score_ci_h,f1_score_ci_h,precision_score_ci_h,recall_score_ci_h
results_rSTSF_country.csv,_0,0.7275933,0.722834,0.7228975,0.7275933,0.0209909,0.0224645,0.0221438,0.0209909,0.6693132030131345,0.660462600619407,0.6614165416511669,0.6693132030131345,0.7858734746776587,0.7852054052929729,0.7843785278886756,0.7858734746776587
results_rSTSF_country.csv,_1,0.6544175,0.652939,0.6543241,0.6544175,0.0018591,0.0015559,0.0016901,0.0018591,0.6492558350207515,0.6486191213842788,0.6496315346688532,0.6492558350207515,0.6595791102532341,0.6572587806590965,0.6590166808952082,0.6595791102532341
results_rdst_country.csv,_0,0.7324991,0.7237443,0.7305205,0.7324991,0.015173,0.01648,0.014979,0.015173,0.6903720304927711,0.6779884271522142,0.6889321296671895,0.6903720304927711,0.7746261197382639,0.7695001676590237,0.7721089108524837,0.7746261197382639
results_rdst_country.csv,_1,0.6961535,0.6923744,0.6952496,0.6961535,0.0089731,0.0093233,0.0084341,0.0089731,0.6712402116566348,0.6664886545011606,0.6718329203412342,0.6712402116566348,0.721066751601188,0.7182600652825541,0.7186663032482664,0.721066751601188
results_resnet_country.csv,_0,0.3227479,0.2266777,0.4355567,0.3227479,0.0951865,0.1378136,0.1160265,0.0951865,0.058467716549684634,0.1559542860850357,0.11341546272983133,0.058467716549684634,0.5870281580930865,0.6093096085221925,0.7576979176586596,0.5870281580930865
results_resnet_country.csv,_1,0.2460197,0.1988456,0.3042954,0.2460197,0.1169155,0.1081576,0.1098992,0.1169155,0.07858980222510326,0.10144795152854319,0.0008335767844043773,0.07858980222510326,0.5706291700067263,0.4991392401746669,0.6094244664955615,0.5706291700067263
results_inception_time_country.csv,_0,0.3227479,0.2266777,0.4355567,0.3227479,0.0951865,0.1378136,0.1160265,0.0951865,0.058467716549684634,0.1559542860850357,0.11341546272983133,0.058467716549684634,0.5870281580930865,0.6093096085221925,0.7576979176586596,0.5870281580930865
results_inception_time_country.csv,_1,0.2460197,0.1988456,0.3042954,0.2460197,0.1169155,0.1081576,0.1098992,0.1169155,0.07858980222510326,0.10144795152854319,0.0008335767844043773,0.07858980222510326,0.5706291700067263,0.4991392401746669,0.6094244664955615,0.5706291700067263
results_hydra_country.csv,_0,0.7177886,0.7086522,0.7176934,0.7177886,0.0115746,0.0130933,0.0116339,0.0115746,0.6856522283381765,0.6722993889715162,0.6853925747103664,0.6856522283381765,0.7499249119934905,0.7450050139226353,0.7499941506221786,0.7499249119934905
results_hydra_country.csv,_1,0.682769,0.677715,0.6823326,0.682769,0.0092478,0.0100045,0.009107,0.0092478,0.6570929194217123,0.6499380048725338,0.6570476043638441,0.6570929194217123,0.7084451666560667,0.7054920729137129,0.7076176214505604,0.7084451666560667
results_elastic_ensemble_country.csv,_0,0.6745412,0.6747764,0.677873,0.6745412,0.0131012,0.0139245,0.0143978,0.0131012,0.6381663904272927,0.6361158063196412,0.6378982288274302,0.6381663904272927,0.7109160496786777,0.7134370330485572,0.7178478651625824,0.7109160496786777
results_elastic_ensemble_country.csv,_1,0.5971061,0.5966109,0.6014213,0.5971061,0.011009,0.0111823,0.0108867,0.011009,0.5665402972554181,0.5655637502016918,0.5711950716897798,0.5665402972554181,0.6276718213988153,0.6276580843638547,0.6316475130986619,0.6276718213988153
results_tde_country.csv,_0,0.7059712,0.7002954,0.7009036,0.7059712,0.0209248,0.0227881,0.0216358,0.0209248,0.6478744876979285,0.6370254354798569,0.6408329014230112,0.6478744876979285,0.7640678193736514,0.7635654053964996,0.7609742193101681,0.7640678193736514
results_tde_country.csv,_1,0.6468707,0.6433979,0.6476405,0.6468707,0.0074157,0.0082972,0.008048,0.0074157,0.6262815119611018,0.6203611937160237,0.6252957393210526,0.6262815119611018,0.6674598341315154,0.6664345650302993,0.6699851938925084,0.6674598341315154
results_hivecotev2_country.csv,_0,0.7106529,0.7019505,0.7064518,0.7106529,0.0145065,0.0156874,0.014174,0.0145065,0.670376347264699,0.6583952993875518,0.6670984973960512,0.670376347264699,0.7509295151373191,0.7455056277111524,0.7458051912792187,0.7509295151373191
results_hivecotev2_country.csv,_1,0.6609866,0.6520438,0.6606718,0.6609866,0.0084396,0.0078541,0.0081577,0.0084396,0.6375545695475124,0.6302374704394024,0.6380223473741665,0.6375545695475124,0.6844186175930957,0.673850169140176,0.6833213461782456,0.6844186175930957
results_multirocket_country.csv,_0,0.682564,0.6780311,0.6812791,0.682564,0.0193758,0.0233209,0.0226017,0.0193758,0.6287681650045622,0.6132820406710747,0.6185267261900023,0.6287681650045622,0.7363598414907337,0.7427802400252016,0.7440314019486458,0.7363598414907337
results_multirocket_country.csv,_1,0.687636,0.685556,0.6866149,0.687636,0.0065082,0.0071566,0.0060431,0.0065082,0.6695663212576689,0.6656861805615522,0.6698366364020888,0.6695663212576689,0.7057057538882351,0.7054257364256964,0.703393168889613,0.7057057538882351
results_DrCIF_country.csv,_0,0.695497,0.6935746,0.6950208,0.695497,0.0154233,0.0161355,0.0155458,0.0154233,0.6526750258826107,0.6487751854059274,0.6518586110446815,0.6526750258826107,0.7383189580231578,0.738374043228992,0.7381829782111439,0.7383189580231578
results_DrCIF_country.csv,_1,0.6162075,0.6158773,0.6182943,0.6162075,0.0060158,0.0057674,0.0046112,0.0060158,0.5995050608939139,0.599864314158701,0.6054914662163471,0.5995050608939139,0.6329099771721718,0.6318902122613494,0.6310972015307834,0.6329099771721718
results_ts_fresh_country.csv,_0,0.7160041,0.7134383,0.7141999,0.7160041,0.0143595,0.0152644,0.0136929,0.0143595,0.676135693124624,0.6710574754966045,0.6761822624308589,0.676135693124624,0.7558725104145178,0.7558190587669784,0.7522176304779089,0.7558725104145178
results_ts_fresh_country.csv,_1,0.6306887,0.6297664,0.630526,0.6306887,0.0067745,0.0061457,0.0056535,0.0067745,0.6118798098617212,0.6127033089140261,0.6148294032415661,0.6118798098617212,0.6494975886126736,0.6468295388740131,0.6462226910584042,0.6494975886126736
results_ridgecv_country.csv,_0,0.7097621,0.6981029,0.7092537,0.7097621,0.0153254,0.0162857,0.0162338,0.0153254,0.6672119212742063,0.6528866654074895,0.6641815673811489,0.6672119212742063,0.752312203934048,0.7433192208536644,0.7543258255433789,0.752312203934048
results_ridgecv_country.csv,_1,0.6780228,0.6691178,0.6767554,0.6780228,0.0084111,0.0085884,0.0082382,0.0084111,0.6546698837806396,0.6452726383460703,0.6538825518454834,0.6546698837806396,0.7013757451723913,0.6929629415836263,0.6996282428495515,0.7013757451723913
results_mrsqm_country.csv,_0,0.6774415,0.6775801,0.6790829,0.6774415,0.0170797,0.0183977,0.0200329,0.0170797,0.6300205278042801,0.6264999646357261,0.6234625568698552,0.6300205278042801,0.7248624898268734,0.728660257750086,0.7347032132394368,0.7248624898268734
results_mrsqm_country.csv,_1,0.6007548,0.6010412,0.6026387,0.6007548,0.0035541,0.0034759,0.0034629,0.0035541,0.5908870456844527,0.5913904072667651,0.5930241561977034,0.5908870456844527,0.6106225659837171,0.6106919120788261,0.6122533209391849,0.6106225659837171
results_weasel_d_country.csv,_0,0.738072,0.7320152,0.73579,0.738072,0.0138355,0.0153487,0.0115635,0.0138355,0.6996584603260696,0.6894002378796295,0.703684416053511,0.6996584603260696,0.7764854790114399,0.7746301248244317,0.7678954873993444,0.7764854790114399
results_weasel_d_country.csv,_1,0.6906785,0.6849193,0.6908531,0.6906785,0.0065842,0.0069235,0.0075631,0.0065842,0.6723978590882346,0.665696646514757,0.669854473143392,0.6723978590882346,0.7089591624423169,0.7041419906185463,0.7118516999256848,0.7089591624423169
results_fresh_prince_country.csv,_0,0.7088734,0.7065131,0.7063686,0.7088734,0.016947,0.0177411,0.0172009,0.016947,0.6618210145201029,0.6572560766366204,0.6586112253688898,0.6618210145201029,0.7559258427348401,0.7557701948016513,0.7541260408570256,0.7559258427348401
results_fresh_prince_country.csv,_1,0.6241184,0.6233912,0.6240099,0.6241184,0.0072526,0.0068156,0.0065608,0.0072526,0.603982076348478,0.6044681467869448,0.6057943303527779,0.603982076348478,0.644254710847219,0.6423143032453733,0.6422255062448626,0.644254710847219
