filename,accuracy_score_mean,f1_score_mean,precision_score_mean,recall_score_mean,accuracy_score_std,f1_score_std,precision_score_std,recall_score_std,accuracy_score_ci_l,f1_score_ci_l,precision_score_ci_l,recall_score_ci_l,accuracy_score_ci_h,f1_score_ci_h,precision_score_ci_h,recall_score_ci_h
results_weasel_d_country.csv,0.71437525,0.70846725,0.7133215500000001,0.71437525,0.01020985,0.0111361,0.0095633,0.01020985,0.686028159707152,0.6775484421971932,0.6867694445984515,0.686028159707152,0.7427223207268785,0.739386057721489,0.7398735936625146,0.7427223207268785
results_rdst_country.csv,0.7143263,0.70805935,0.71288505,0.7143263,0.01207305,0.01290165,0.01170655,0.01207305,0.680806121074703,0.6722385408266873,0.6803825250042119,0.680806121074703,0.747846435669726,0.7438801164707889,0.7453876070503751,0.747846435669726
results_hydra_v2_country.csv,0.7002788,0.6931836,0.700013,0.7002788,0.0104112,0.0115489,0.01037045,0.0104112,0.6713725738799444,0.6611186969220251,0.6712200895371052,0.6713725738799444,0.7291850393247786,0.7252485434181741,0.7288058860363695,0.7291850393247786
best_of_m1_m2_models.csv,0.7,0.69,0.66,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results_rSTSF_country.csv,0.6910054,0.6878865000000001,0.6886108,0.6910054,0.011425,0.012010199999999999,0.01191695,0.011425,0.659284519016943,0.6545408610018428,0.65552403816001,0.659284519016943,0.7227262924654464,0.7212320929760347,0.7216976043919419,0.7227262924654464
results_ridge_cv_country.csv,0.69389245,0.6836103499999999,0.6930045499999999,0.69389245,0.01186825,0.01243705,0.012236,0.01186825,0.6609409025274229,0.6490796518767799,0.6590320596133161,0.6609409025274229,0.7268439745532196,0.7181410812186453,0.7269770341964652,0.7268439745532196
results_multirocket_country.csv,0.6851,0.6817935500000001,0.6839470000000001,0.6851,0.012941999999999999,0.015238749999999999,0.014322399999999999,0.012941999999999999,0.6491672431311155,0.6394841106163134,0.6441816812960455,0.6491672431311155,0.7210327976894844,0.724102988225449,0.7237122854191294,0.7210327976894844
results_hivecotev2_v2_country.csv,0.686357,0.6789583,0.6851339000000001,0.686357,0.01455795,0.01565855,0.014746750000000001,0.01455795,0.6459376540545864,0.6354831667196994,0.6441904392478636,0.6459376540545864,0.7267763601730379,0.7224334386913727,0.726077360011166,0.7267763601730379
results_tde_country.csv,0.67642095,0.67184665,0.6742720499999999,0.67642095,0.01417025,0.015542649999999998,0.0148419,0.01417025,0.6370779998295152,0.6286933145979403,0.6330643203720319,0.6370779998295152,0.7157638267525834,0.7149999852133995,0.7154797066013383,0.7157638267525834
results_ts_fresh_country.csv,0.6733464,0.6716023499999999,0.67236295,0.6733464,0.010567,0.010705049999999999,0.0096732,0.010567,0.6440077514931726,0.6418803922053153,0.6455058328362124,0.6440077514931726,0.7026850495135957,0.7013242988204957,0.6992201607681565,0.7026850495135957
results_fresh_prince_country.csv,0.6664958999999999,0.66495215,0.6651892500000001,0.6664958999999999,0.0120998,0.01227835,0.011880850000000002,0.0120998,0.6329015454342904,0.6308621117117826,0.6322027778608339,0.6329015454342904,0.7000902767910295,0.6990422490235123,0.6981757735509442,0.7000902767910295
results_DrCIF_country.csv,0.65585225,0.65472595,0.65665755,0.65585225,0.01071955,0.01095145,0.0100785,0.01071955,0.6260900433882624,0.6243197497823142,0.6286750386305142,0.6260900433882624,0.6856144675976648,0.6851321277451707,0.6846400898709637,0.6856144675976648
results_MrSQM_country.csv,0.63909815,0.6393106500000001,0.6408608,0.63909815,0.0103169,0.0109368,0.0117479,0.0103169,0.6104537867443665,0.6089451859512456,0.6082433565337793,0.6104537867443665,0.6677425279052953,0.6696760849144561,0.6734782670893109,0.6677425279052953
results_elastic_ensemble_country.csv,0.63582365,0.6356936500000001,0.63964715,0.63582365,0.0120551,0.0125534,0.01264225,0.0120551,0.6023533438413554,0.6008397782606665,0.604546650258605,0.6023533438413554,0.6692939355387465,0.670547558706206,0.6747476891306221,0.6692939355387465
results_inception_time_country.csv,0.28438379999999996,0.21276165000000002,0.36992605,0.28438379999999996,0.106051,0.1229856,0.11296285,0.106051,0.0685287593873939,0.12870111880678942,0.0571245197571178,0.0685287593873939,0.5788286640499064,0.5542244243484297,0.6835611920771105,0.5788286640499064
