filename,accuracy_score_mean,f1_score_mean,precision_score_mean,recall_score_mean,accuracy_score_std,f1_score_std,precision_score_std,recall_score_std,accuracy_score_ci_l,f1_score_ci_l,precision_score_ci_l,recall_score_ci_l,accuracy_score_ci_h,f1_score_ci_h,precision_score_ci_h,recall_score_ci_h
results_rdst_all.csv,0.695765,0.6942927,0.6955995,0.695765,0.0075481,0.0075588,0.0075939,0.0075481,0.674808236861681,0.673305964784999,0.6745153414144692,0.674808236861681,0.7167218508029809,0.7152793372947803,0.716683590915168,0.7167218508029809
results_weasel_d_all.csv,0.6943484,0.6920642,0.6938363,0.6943484,0.0051909,0.0053604,0.0056329,0.0051909,0.679936291491895,0.6771813854394272,0.6781968996047858,0.679936291491895,0.7087605139694056,0.7069470436981667,0.7094756751004494,0.7087605139694056
best_of_m1_m2_models.csv,0.7,0.69,0.66,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results_hydra_all.csv,0.6831709,0.6805187,0.6832796,0.6831709,0.0045817,0.0047378,0.0046898,0.0045817,0.6704501370126847,0.6673644834574167,0.6702585263632174,0.6704501370126847,0.695891590932479,0.6936729456059522,0.6963007476825577,0.695891590932479
results_tde_all.csv,0.6564864,0.6543623,0.6560376,0.6564864,0.0114009,0.0116529,0.0115684,0.0114009,0.6248323958966171,0.6220087537841603,0.6239185923236996,0.6248323958966171,0.6881404866252991,0.6867158212832583,0.6881566809004509,0.6881404866252991
results_ts_fresh_all.csv,0.6528651,0.6520598,0.6526395,0.6528651,0.0132475,0.0128835,0.0126206,0.0132475,0.6160842069608029,0.6162893183462022,0.6175990341676816,0.6160842069608029,0.6896459445388544,0.6878301936075817,0.6876798817989744,0.6896459445388544
results_fresh_prince_all.csv,0.6416883,0.6411107,0.6411251,0.6416883,0.016508,0.0163069,0.0157705,0.016508,0.5958549079509092,0.595835389564158,0.5973390596604919,0.5958549079509092,0.6875217774014382,0.6863859321013722,0.6849111590303192,0.6875217774014382
