Classifier,best of M1 and M2 models,HIVECOTEV2,Hydra,MultiRocket,Proximity Forest,Elastic Ensemble,Fresh Prince,TSFresh,DrCIF,rSTSF,RDST,MrSQM,Weasel-D,TDE,Inception Time,ResNet,ridge_cv
Accuracy,0.700,0.680,0.702,0.702,,0.641,0.567,0.690,0.6616123,0.701,0.698,0.671,0.708,0.712,0.164,,0.696
F1-Score,0.690,0.670,0.693,0.702,,0.642,0.565,0.690,0.6603577,0.697,0.690,0.671,0.703,0.711,0.079,,0.681
Precision,0.660,0.676,0.699,0.709,,0.648,0.568,0.693,0.6650917,0.698,0.696,0.673,0.707,0.723,0.427,,0.684
Recall,0.760,0.680,0.702,0.702,,0.641,0.567,0.690,0.6616123,0.701,0.698,0.671,0.708,0.712,0.164,,0.696
