id,kmeans_cluster_k11
0,9
1,9
2,0
3,4
4,8
5,4
6,3
7,8
8,0
9,4
10,8
11,4
12,0
13,4
14,0
15,4
16,8
17,4
18,9
19,8
20,0
21,8
22,0
23,0
24,4
25,8
26,3
27,0
28,0
29,8
30,8
31,8
32,4
33,4
34,4
35,4
36,4
37,4
38,3
39,0
40,0
41,2
42,4
43,4
44,8
45,8
46,8
47,0
48,9
49,4
50,4
51,4
52,0
53,0
54,0
55,2
56,4
57,9
58,9
59,9
60,4
61,8
62,8
63,4
64,4
65,4
66,0
67,4
68,3
69,9
70,3
71,8
72,0
73,0
74,8
75,8
76,9
77,8
78,0
79,0
80,0
81,0
82,4
83,4
84,4
85,4
86,0
87,8
88,4
89,4
90,9
91,9
92,4
93,0
94,4
95,4
96,4
97,4
98,8
99,9
100,0
101,4
102,4
103,0
104,4
105,0
106,9
107,4
108,4
109,4
110,4
111,4
112,0
113,8
114,7
115,8
116,4
117,4
118,8
119,4
120,4
121,0
122,4
123,4
124,4
125,4
126,4
127,4
128,4
129,0
130,4
131,8
132,4
133,4
134,4
135,4
136,9
137,4
138,4
139,0
140,8
141,4
142,9
143,4
144,4
145,4
146,0
147,3
148,4
149,4
150,4
151,0
152,9
153,8
154,8
155,4
156,4
157,4
158,4
159,4
160,8
161,4
162,4
163,4
164,4
165,8
166,0
167,4
168,4
169,4
170,8
171,8
172,0
173,4
174,9
175,2
176,3
177,4
178,4
179,0
180,8
181,4
182,4
183,0
184,4
185,8
186,0
187,4
188,0
189,9
190,8
191,4
192,4
193,0
194,3
195,8
196,4
197,0
198,3
199,3
200,7
201,3
202,7
203,3
204,3
205,2
206,7
207,3
208,3
209,7
210,3
211,8
212,7
213,9
214,3
215,9
216,9
217,0
218,3
219,3
220,9
221,0
222,3
223,3
224,3
225,3
226,7
227,7
228,2
229,9
230,3
231,4
232,7
233,3
234,3
235,9
236,3
237,7
238,7
239,3
240,3
241,7
242,9
243,7
244,9
245,3
246,3
247,3
248,9
249,3
250,3
251,3
252,3
253,3
254,3
255,2
256,3
257,7
258,4
259,3
260,3
261,8
262,2
263,2
264,3
265,3
266,3
267,0
268,7
269,3
270,3
271,0
272,9
273,3
274,3
275,9
276,3
277,3
278,3
279,4
280,3
281,3
282,3
283,8
284,3
285,7
286,3
287,4
288,7
