filename,Classifier,filter_ds,accuracy_score_mean,f1_score_mean,precision_score_mean,recall_score_mean,accuracy_score_std,f1_score_std,precision_score_std,recall_score_std,accuracy_score_ci_l,f1_score_ci_l,precision_score_ci_l,recall_score_ci_l,accuracy_score_ci_h,f1_score_ci_h,precision_score_ci_h,recall_score_ci_h
results_ridge_cv_city.csv,ridge_cv,_0_0,0.777766,0.7620335,0.7572305,0.777766,0.0181719,0.0202704,0.0183998,0.0181719,0.7273127770466403,0.7057539089148928,0.7061443569544934,0.7273127770466403,0.8282192907671675,0.8183131749841646,0.8083166607648791,0.8282192907671675
results_ridge_cv_city.csv,ridge_cv,_0_1,0.6926215,0.6794363,0.6806858,0.6926215,0.0263944,0.0250806,0.0243136,0.0263944,0.619338978659976,0.6098012492012196,0.6131804605301894,0.619338978659976,0.765904017337737,0.749071252973225,0.7481911246431112,0.765904017337737
results_ridge_cv_city.csv,ridge_cv,_0_2,0.7134637,0.7073324,0.7115966,0.7134637,0.0190706,0.0215116,0.019047,0.0190706,0.6605153605419389,0.6476064841501686,0.6587135464193913,0.6605153605419389,0.7664120592822856,0.767058257541411,0.7644795724979833,0.7664120592822856
results_ridge_cv_city.csv,ridge_cv,_1_0,0.7043341,0.6977573,0.7039469,0.7043341,0.0142881,0.0157473,0.0130861,0.0142881,0.6646640725907209,0.6540356951455659,0.6676141173585558,0.6646640725907209,0.7440040642009065,0.741478938814109,0.740279685738393,0.7440040642009065
results_ridge_cv_city.csv,ridge_cv,_1_2,0.6695745,0.6612434,0.6748643,0.6695745,0.0248028,0.026156,0.0211589,0.0248028,0.600710917187469,0.5886225710584638,0.6161177349424466,0.600710917187469,0.7384380496207964,0.7338641546874873,0.7336108332113448,0.7384380496207964
results_ridge_cv_city.csv,ridge_cv,_1_4,0.6818966,0.66257,0.6839016,0.6818966,0.0136032,0.0170282,0.0088403,0.0136032,0.6441279613999962,0.615291995381159,0.6593568916542796,0.6441279613999962,0.7196651420482796,0.7098479824700726,0.70844625506218,0.7196651420482796
results_rdst_city.csv,rdst,_0_0,0.7823532,0.7653067,0.7622103,0.7823532,0.0152051,0.0158488,0.0130137,0.0152051,0.7401371477870087,0.7213034891993197,0.7260783619657192,0.7401371477870087,0.8245692319534048,0.8093099639166919,0.7983421396239696,0.8245692319534048
results_rdst_city.csv,rdst,_0_1,0.6979074,0.6897133,0.6955589,0.6979074,0.0213263,0.0235182,0.0217562,0.0213263,0.6386960131771537,0.6244161892422533,0.6351540459115325,0.6386960131771537,0.7571187381092954,0.7550103413249576,0.7559637885816514,0.7571187381092954
results_rdst_city.csv,rdst,_0_2,0.7337152,0.7275821,0.7289848,0.7337152,0.0197857,0.0201249,0.0195509,0.0197857,0.6787813787288034,0.6717063770851027,0.6747027070324378,0.6787813787288034,0.7886489221849969,0.7834578819300656,0.7832669660830771,0.7886489221849969
results_rdst_city.csv,rdst,_1_0,0.7099534,0.7085645,0.7106422,0.7099534,0.0118036,0.0107694,0.0103423,0.0118036,0.6771814786208425,0.6786640154574859,0.6819274077541136,0.6771814786208425,0.7427254134649846,0.7384650789020717,0.7393569349605417,0.7427254134649846
