id,kmeans_cluster_k7
0,1
1,1
2,6
3,5
4,5
5,5
6,1
7,5
8,6
9,5
10,5
11,5
12,6
13,5
14,6
15,5
16,5
17,5
18,1
19,5
20,6
21,5
22,6
23,6
24,5
25,5
26,1
27,6
28,6
29,5
30,5
31,5
32,5
33,5
34,5
35,5
36,5
37,5
38,1
39,6
40,6
41,1
42,5
43,5
44,5
45,5
46,5
47,6
48,1
49,5
50,5
51,5
52,6
53,6
54,6
55,1
56,5
57,5
58,1
59,1
60,5
61,5
62,5
63,5
64,5
65,5
66,6
67,5
68,1
69,1
70,1
71,5
72,6
73,6
74,5
75,5
76,1
77,5
78,5
79,6
80,6
81,6
82,5
83,5
84,5
85,5
86,6
87,5
88,5
89,5
90,5
91,1
92,5
93,6
94,0
95,5
96,5
97,0
98,5
99,5
100,6
101,5
102,5
103,6
104,5
105,6
106,1
107,5
108,5
109,5
110,5
111,5
112,5
113,5
114,6
115,5
116,5
117,5
118,5
119,5
120,5
121,6
122,5
123,5
124,5
125,5
126,5
127,5
128,5
129,6
130,5
131,5
132,5
133,5
134,5
135,5
136,6
137,5
138,5
139,6
140,5
141,5
142,1
143,5
144,5
145,5
146,6
147,6
148,5
149,5
150,5
151,6
152,1
153,5
154,5
155,5
156,5
157,5
158,5
159,0
160,5
161,5
162,5
163,5
164,5
165,5
166,6
167,5
168,5
169,5
170,5
171,5
172,6
173,5
174,1
175,1
176,1
177,5
178,5
179,6
180,5
181,6
182,5
183,5
184,5
185,5
186,6
187,5
188,5
189,1
190,5
191,5
192,5
193,6
194,6
195,5
196,5
197,6
198,1
199,6
200,6
201,1
202,6
203,6
204,1
205,1
206,6
207,1
208,1
209,6
210,1
211,5
212,6
213,1
214,1
215,1
216,1
217,6
218,1
219,6
220,1
221,6
222,1
223,6
224,1
225,6
226,6
227,6
228,3
229,1
230,6
231,6
232,6
233,1
234,1
235,1
236,1
237,6
238,6
239,1
240,1
241,6
242,1
243,6
244,1
245,1
246,1
247,1
248,1
249,6
250,1
251,6
252,1
253,1
254,1
255,1
256,1
257,6
258,5
259,1
260,1
261,5
262,1
263,3
264,1
265,1
266,1
267,6
268,6
269,1
270,1
271,6
272,6
273,1
274,6
275,1
276,1
277,1
278,1
279,5
280,1
281,1
282,1
283,5
284,1
285,6
286,1
287,5
288,6
289,6
290,1
291,6
292,6
293,6
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,6
304,6
305,1
306,1
307,6
308,1
309,1
310,1
311,1
312,1
313,1
314,6
315,6
316,6
317,6
318,1
319,1
320,1
321,6
322,6
323,6
324,5
325,6
326,1
327,6
328,5
329,6
330,1
331,1
332,6
333,6
334,6
335,1
336,1
337,1
338,1
339,5
340,1
341,6
342,1
343,1
344,6
345,1
346,1
347,6
348,6
349,1
350,1
351,6
352,6
353,5
354,6
355,6
356,5
357,1
358,1
359,1
360,1
361,6
362,5
363,1
364,3
365,1
366,6
367,1
368,6
369,6
370,1
371,6
372,1
373,1
374,1
375,1
376,1
377,1
378,6
379,6
380,1
381,6
382,6
383,1
384,6
385,5
386,6
387,5
388,1
389,6
390,6
391,1
392,5
393,1
394,6
395,6
396,6
397,6
398,1
399,6
400,1
401,5
402,1
403,1
404,1
405,6
406,6
407,1
408,6
409,1
410,6
411,6
412,6
413,5
414,1
415,6
416,5
417,5
418,5
419,5
420,5
421,6
422,6
423,5
424,6
425,5
426,1
427,1
428,1
429,5
430,3
431,1
432,1
433,3
434,1
435,1
436,3
437,6
438,1
439,3
440,1
441,1
442,1
443,6
444,6
445,1
446,1
447,1
448,6
449,1
450,6
451,1
452,6
453,6
454,1
455,1
456,1
457,1
458,6
459,6
460,6
461,1
462,5
463,6
464,1
465,6
466,6
467,1
468,6
469,1
470,5
471,5
472,6
473,1
474,1
475,1
476,1
477,1
478,5
479,1
480,1
481,1
482,6
483,6
484,6
485,6
486,6
487,1
488,1
489,6
490,6
491,1
492,6
493,6
494,1
495,6
496,6
497,6
498,1
499,6
500,1
501,1
502,1
503,6
504,1
505,5
506,6
507,1
508,1
509,6
510,6
511,6
512,6
513,6
514,1
515,6
516,6
517,1
518,6
519,1
520,6
521,1
522,1
523,6
524,6
525,1
526,1
527,6
528,6
529,6
530,1
531,1
532,1
533,6
534,1
535,6
536,6
537,6
538,1
539,5
540,6
541,1
542,6
543,1
544,6
545,1
546,1
547,1
548,6
549,6
550,6
551,6
552,1
553,1
554,6
555,1
556,5
557,1
558,6
559,6
560,1
561,6
562,1
563,6
564,6
565,1
566,1
567,1
568,1
569,1
570,1
571,6
572,6
573,1
574,6
575,1
576,1
577,6
578,1
579,1
580,6
581,1
582,6
583,6
584,1
585,6
586,1
587,6
588,5
589,1
590,1
591,1
592,1
593,1
594,1
595,6
596,6
597,1
598,1
599,6
600,5
601,6
602,1
603,1
604,6
605,6
606,6
607,5
608,1
609,5
610,1
611,6
612,6
613,6
614,1
615,6
616,6
617,6
618,6
619,6
620,6
621,6
622,1
623,1
624,5
625,5
626,6
627,1
628,1
629,6
630,6
631,1
632,6
633,1
634,1
635,6
636,5
637,1
638,6
639,6
640,1
641,1
642,1
643,1
644,1
645,5
646,6
647,6
648,6
649,6
650,1
651,1
652,1
653,1
654,1
655,6
656,6
657,1
658,6
659,1
660,6
661,5
662,6
663,6
664,5
665,6
666,1
667,5
668,6
669,5
670,1
671,1
672,1
673,5
674,6
675,6
676,5
677,6
678,1
679,6
680,5
681,6
682,6
683,6
684,6
685,1
686,1
687,6
688,1
689,1
690,5
691,5
692,1
693,6
694,6
695,6
696,5
697,6
698,1
699,1
700,1
701,1
702,1
703,6
704,6
705,1
706,1
707,6
708,6
709,6
710,5
711,6
712,6
713,5
714,6
715,6
716,6
717,6
718,6
719,1
720,6
721,6
722,5
723,6
724,1
725,1
726,5
727,6
728,6
729,6
730,6
731,5
732,1
733,5
734,5
735,1
736,1
737,6
738,1
739,6
740,1
741,6
742,1
743,6
744,1
745,6
746,1
747,6
748,6
749,1
750,1
751,1
752,6
753,6
754,6
755,6
756,6
757,1
758,6
759,5
760,6
761,6
762,1
763,6
764,6
765,6
766,6
767,6
768,6
769,1
770,6
771,5
772,6
773,1
774,5
775,1
776,1
777,1
778,1
779,1
780,6
781,1
782,6
783,6
784,6
785,1
786,1
787,6
788,5
789,6
790,1
791,5
792,6
793,5
794,1
795,6
796,1
797,6
798,1
799,6
800,5
801,6
802,1
803,6
804,6
805,1
806,1
807,6
808,5
809,6
