id,kmeans_cluster_k10
0,9
1,9
2,0
3,4
4,8
5,4
6,3
7,4
8,0
9,4
10,8
11,4
12,0
13,4
14,8
15,8
16,8
17,4
18,9
19,4
20,0
21,4
22,8
23,8
24,4
25,8
26,0
27,0
28,0
29,4
30,4
31,4
32,4
33,4
34,4
35,4
36,4
37,4
38,0
39,0
40,0
41,3
42,4
43,4
44,4
45,4
46,4
47,8
48,9
49,4
50,4
51,4
52,0
53,0
54,7
55,3
56,4
57,9
58,9
59,9
60,4
61,4
62,4
63,4
64,4
65,8
66,0
67,4
68,0
69,9
70,0
71,4
72,0
73,8
74,4
75,4
76,9
77,8
78,8
79,8
80,0
81,9
82,4
83,4
84,4
85,4
86,0
87,4
88,4
89,4
90,8
91,9
92,4
93,8
94,4
95,8
96,4
97,4
98,4
99,9
100,0
101,4
102,4
103,9
104,4
105,8
106,9
107,4
108,4
109,4
110,4
111,4
112,0
113,8
114,7
115,4
116,4
117,4
118,4
119,4
120,4
121,0
122,4
123,4
124,4
125,4
126,4
127,4
128,4
129,0
130,4
131,8
132,4
133,4
134,4
135,9
136,9
137,4
138,8
139,0
140,4
141,4
142,9
143,4
144,4
145,4
146,0
147,0
148,4
149,4
150,4
151,0
152,9
153,4
154,8
155,8
156,4
157,4
158,4
159,4
160,8
161,4
162,4
163,4
164,4
165,4
166,0
167,4
168,4
169,4
170,8
171,8
172,0
173,4
174,9
175,3
176,0
177,4
178,4
179,0
180,8
181,4
182,4
183,4
184,4
185,8
186,8
187,4
188,8
189,9
190,8
191,4
192,4
193,0
194,0
195,8
196,4
197,0
198,3
199,0
200,7
201,9
202,7
203,0
204,3
205,3
206,7
207,3
208,3
209,7
210,3
211,4
212,7
213,3
214,3
215,9
216,9
217,0
218,3
219,7
220,9
221,0
222,0
223,7
224,3
225,0
226,7
227,7
228,2
229,9
230,3
231,4
232,7
233,3
234,3
235,9
236,3
237,7
238,7
239,3
240,3
241,0
242,9
243,0
244,3
245,3
246,3
247,3
248,9
249,0
250,3
251,7
252,3
253,3
254,0
255,3
256,3
257,7
258,4
259,3
260,3
261,8
262,3
263,2
264,3
265,3
266,3
267,0
268,7
269,3
270,3
271,0
272,9
273,3
274,0
275,9
276,3
277,3
278,3
279,4
280,3
281,3
282,3
283,4
284,3
285,7
286,3
287,4
288,7
