Classifier,best of M1 and M2 models,HIVECOTEV2,Hydra,MultiRocket,Proximity Forest,Elastic Ensemble,Fresh Prince,TSFresh,DrCIF,rSTSF,RDST,MrSQM,Weasel-D,TDE,Inception Time,ResNet,ridge_cv
Accuracy,0.700,0.768,0.781,0.752,,0.710,0.676,0.747,0.7501966,0.779,0.7823532,0.763,0.786,0.712,0.325,,0.786
F1-Score,0.690,0.754,0.766,0.753,,0.712,0.672,0.743,0.7458776,0.772,0.7653067,0.763,0.775,0.713,0.284,,0.772
Precision,0.660,0.751,0.767,0.759,,0.719,0.673,0.745,0.7459128,0.773,0.7622103,0.767,0.772,0.726,0.525,,0.769
Recall,0.760,0.768,0.781,0.752,,0.710,0.676,0.747,0.7501966,0.779,0.7823532,0.763,0.786,0.712,0.325,,0.786
