kmeans_cluster_k5,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0,0.1344912798315364,0.08089653917555102,0.04572674147724426,0.029469028096886233,0.013152558990689605,0.01030657474284046,0.013215038312594466,0.12472833492072702,0.25268632018591397,0.36516338577634805,0.4413491695196105,0.5212146150860939,0.5898952594199373,0.6322796228567371,0.6634707496513683,0.6355801522747498,0.5897010792188185,0.6304676844977439,0.6495962026799259,0.609674999213114,0.5651458332848813,0.4757282784503937,0.4265906689767815,0.2584386926764442
1,47.80118741728673,0.12011801589413036,0.027505623118173995,0.019699947215849493,0.009118182792242573,0.010811865729898524,0.008418914895413486,0.04307427018898404,10.064866066056677,10.410422977048176,119.38763114270394,49.38876057685298,29.904570691529376,137.05217380172436,59.48549658273428,10.18225266671492,7.204209702802928,24.05813669704477,29.177072497334443,65.41980783055503,120.39927933549063,158.7869921629627,73.51861275831845,27.955456543331064
2,0.05694042039128645,0.02117416270645511,0.012430910735101563,0.007692071272015345,0.0021177372436412497,0.0010497820774162652,0.0014536030576019923,0.03195560414849975,0.07367069181709665,0.11326003661805076,0.17595467710673438,0.2795770951276389,0.44262328608116,0.5192844315532953,0.41647378271560054,0.2929382585414276,0.23346904970528431,0.25597053396722014,0.3055948005148648,0.40849456310361915,0.43787550439397444,0.37767849842398593,0.2318731697858319,0.11928027865969944
3,0.19394288186370254,0.11095501351246045,0.03812006902426715,0.018184656149951607,0.0026156228432413953,0.0008521556003062599,0.0008830187388991123,0.017295508945960714,0.04617934075443819,0.07304576026178797,0.0957182611539293,0.15349610613073145,0.22945089034425553,0.2627038285220795,0.2299103469699258,0.1875391986843642,0.20410450532100075,0.3106033497190253,0.4534420913274193,0.5957795137185616,0.6679857085715788,0.628907376422775,0.479437745724521,0.3266575104241881
4,3.1667932677617556,1.167778335222757,0.642445989906328,0.743550864522246,0.2481735467606305,0.3474001391569572,0.0022417671628223953,0.22345672715207074,0.018594331614305792,0.24635624147194285,0.1859510342669843,0.6646493417972174,0.4230768333843977,0.3284469709292315,0.11642788434413168,0.7439195183743881,0.2301354668371343,0.28959690521314224,0.346305502059278,0.8946298439009768,0.8764510278989806,0.6098868085239667,1.4541651998038243,2.5074413487539102
